date,level,message
2025-08-10,INFO,selected parameter backup file /fs/microsd/parameters_backup.bson
2025-08-10,ERROR,Parameter RC_INPUT_PROTO not found.
2025-08-10,INFO,data manager file '/fs/microsd/dataman' size is 68528 bytes
2025-08-10,WARN,"no gyro selected, using sensor_gyro_fifo:0 6684690"
2025-08-10,WARN,Using non-standard baudrate: 420000
2025-08-10,INFO,Crsf serial opened sucessfully
2025-08-10,INFO,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
2025-08-10,INFO,"mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B"
2025-08-10,INFO,Starting CDC/ACM autostart
2025-08-10,INFO,logger started (mode=all)
2025-08-10,INFO,"Node ID 1, bitrate 1000000"
2025-08-10,WARN,Preflight Fail: height estimate not stable
2025-08-10,WARN,Preflight Fail: height estimate error
2025-08-10,WARN,Preflight Fail: height estimate not stable
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/sess100/log100.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess100/log100.ulg
2025-08-10,INFO,selected parameter backup file /fs/microsd/parameters_backup.bson
2025-08-10,ERROR,Parameter RC_INPUT_PROTO not found.
2025-08-10,INFO,data manager file '/fs/microsd/dataman' size is 68528 bytes
2025-08-10,WARN,"no gyro selected, using sensor_gyro_fifo:0 6684690"
2025-08-10,WARN,Using non-standard baudrate: 420000
2025-08-10,INFO,Crsf serial opened sucessfully
2025-08-10,INFO,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
2025-08-10,INFO,"mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B"
2025-08-10,INFO,Starting CDC/ACM autostart
2025-08-10,INFO,logger started (mode=all)
2025-08-10,INFO,"Node ID 1, bitrate 1000000"
2025-08-10,WARN,Preflight Fail: height estimate not stable
2025-08-10,WARN,Preflight Fail: height estimate error
2025-08-10,WARN,Preflight Fail: height estimate not stable
2025-08-10,WARN,Preflight Fail: height estimate error
2025-08-10,WARN,Preflight Fail: height estimate not stable
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log100.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log100.ulg
2025-08-10,INFO,Disarmed by RC (switch)
2025-08-10,INFO,"closed logfile, bytes written: 222754"
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log101.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log101.ulg
2025-08-10,INFO,Disarmed by RC (switch)
2025-08-10,INFO,"closed logfile, bytes written: 214284"
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log102.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log102.ulg
2025-08-10,INFO,Disarmed by RC (switch)
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,"closed logfile, bytes written: 234577"
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log103.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log103.ulg
2025-08-10,INFO,Disarmed by RC (switch)
2025-08-10,INFO,"closed logfile, bytes written: 233093"
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log104.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log104.ulg
2025-08-10,INFO,Disarmed by RC (switch)
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,"closed logfile, bytes written: 210147"
2025-08-10,INFO,[logger] /fs/microsd/log/sess101/log105.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/sess101/log105.ulg
2025-08-10,INFO,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
2025-08-10,INFO,init serial /dev/ttyS3 @ 921600 baud
2025-08-10,INFO,Starting CDC/ACM autostart
2025-08-10,INFO,logger started (mode=all)
2025-08-10,INFO,"Node ID 1, bitrate 1000000"
2025-08-10,INFO,u-blox protocol version: 27.11
2025-08-10,INFO,u-blox module: ZED-F9P
2025-08-10,INFO,u-blox firmware version: HPG 1.12
2025-08-10,INFO,u-blox protocol version: 27.11
2025-08-10,INFO,u-blox module: ZED-F9P
2025-08-10,WARN,Preflight: GPS Horizontal Pos Error too high
2025-08-10,WARN,Preflight: GPS Horizontal Pos Drift too high
2025-08-10,INFO,Kill engaged
2025-08-10,WARN,Preflight Fail: Kill switch engaged
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,Kill disengaged
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/2025-08-10/09_20_09.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/2025-08-10/09_20_09.ulg
2025-08-10,INFO,Takeoff detected
2025-08-10,WARN,Disarming denied: not landed
2025-08-10,WARN,Kill engaged
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,Landing detected
2025-08-10,INFO,Disarmed by kill-switch
2025-08-10,WARN,Preflight Fail: Kill switch engaged
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,"closed logfile, bytes written: 826500"
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,Kill disengaged
2025-08-10,INFO,Armed by RC (switch)
2025-08-10,INFO,Start file log (type: full)
2025-08-10,INFO,[logger] /fs/microsd/log/2025-08-10/09_21_12.ulg
2025-08-10,INFO,Opened full log file: /fs/microsd/log/2025-08-10/09_21_12.ulg
2025-08-10,INFO,Takeoff detected
2025-08-10,WARN,Kill engaged
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,WARN,invalid setpoints
2025-08-10,WARN,Failsafe: stop and wait
2025-08-10,WARN,Failsafe activated: entering Hold for 5 seconds
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,Disarmed by kill-switch
2025-08-10,WARN,Preflight Fail: Kill switch engaged
2025-08-10,WARN,Preflight Fail: Flight termination active
2025-08-10,INFO,"closed logfile, bytes written: 863184"
2025-08-10,WARN,Preflight Fail: Kill switch engaged
